"","text.X","text.text","emotion","polarity"
"1",1,"rt ocoglobal china climate coronavirus key tasks biden administration commercial director garethhagan exp…","unknown","positive"
"2",2," new study cardiffunis crimesecuritycu explores chinese links spread disinformation … httpstcosyjlanjqw","unknown","positive"
"3",3,"rt bsindia zero tolerance policy effective april june adults illegally entered us including th…","unknown","neutral"
"4",4," zero tolerance policy effective april june adults illegally entered us … httpstcocniuskiczi","unknown","neutral"
"5",5,"rt aishpaliwal uselection joe biden races ahead donald trump georgia","unknown","positive"
"6",6,"rt baymads history us presidents ufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffeufufuffc usele…","unknown","positive"
"7",7,"rt longjohn joebiden zimbabwen ufufufufuf uselection uspresidentialelections uselectionresults corruptjoebiden joebiden…","unknown","positive"
"8",8,"rt coinshark go u giveaway winners ufbuf like rt tweet uufefuf sign httpstcomalqayuw also…","joy","positive"
"9",9," know love jesus christ laid life us niv bible john uselection… httpstcopdsad","joy","positive"
"10",10," scary stuff twitterbots spreading fakenews uselection httpstcoyewsmdkbwk","fear","negative"
"11",11,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"12",12,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"13",13,"rt masroorabbasi heloooo ivankatrump secret videos joebiden u can dm u need friend mayam nawaz nawazshari…","joy","negative"
"14",14,"heloooo ivankatrump secret videos joebiden u can dm u need friend mayam nawaz… httpstcofgxjxzy","joy","negative"
"15",15,"rt wbgsexcellence talent students shines read great article sixth former nathan presidential e…","joy","positive"
"16",16,"uselection biden ’s quite sad watch superpower country becoming something jerry springer show","sadness","negative"
"17",17,"rt kathyconwom various institutions media judiciary legislature states looked fraud…","unknown","positive"
"18",18,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"19",19,"rt neelumnawab maine’s susan collins reelected making almost impossible democrats win senate democrats uselecti…","unknown","negative"
"20",20,"rt neelumnawab president trump’s lead pennsylvania become shaky points less points biden wins penn…","unknown","negative"
"21",21,"facebook let researchers access election ad data advertising uselection httpstcovpycpxnie","unknown","negative"
"22",22,"trumpadministration former secretary state mikepompeo joins conservative hudsoninstitute dc pakustv… httpstcoiiojfwmsh","unknown","positive"
"23",23,"rt thaguru still greatest proposal video ever watched internet icon valrma fajr borat uselection httpstco…","unknown","positive"
"24",24,"china climate coronavirus key tasks biden administration commercial director… httpstcoqaiqver","unknown","positive"
"25",25,"rt twistbyformatio kings collections white howlite spun gold price sendadm today chat call via whatsapp …","unknown","neutral"
"26",26,"dear twittersupport please look tweet responses promoting false information … httpstcowuitoxrul","joy","positive"
"27",27,"rt wionews gravitas watch former white house stenographer mike mccormick speak wions palkisu uselection tonight …","unknown","negative"
"28",28," justiceoig announced investigation whether prior members doj attempted alter result… httpstcolzpfytpd","unknown","negative"
"29",29,"nytimes someone put right can trump impeached longer president trumpslastday trump uselection","unknown","positive"
"30",30,"httpstcoiydyjglep nice cover capitolhill policechief gr trap set protrumpers fell ri … httpstcouzycjhvnnt","unknown","neutral"
"31",31,"rt chrisburke go eleven dunkin donuts unless slight indian accent joking joe biden usel…","unknown","negative"
"32",32," nuclear football important twitter handle uf potus uselection","unknown","positive"
"33",33,"rt ixi always uselection trump climate climatecrisis climateemergency latter still trending us…","unknown","positive"
"34",34," always uselection trump climate climatecrisis climateemergency latter still tre… httpstcooxvyuvxv","unknown","positive"
"35",35,"comment year ufufufuf bidenharris trump uselection httpstcoaoetrzqtx","unknown","positive"
"36",36,"anyone figure connection pillow uspresidency following … httpstcocrvlmdm","unknown","negative"
"37",37," talent students shines read great article sixth former nathan presidenti… httpstcouggpecgzv","joy","positive"
"38",38,"rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx","unknown","positive"
"39",39,"rt yohanrealdeal sen bernie sanders prediction need studied betting company prediction ufufufufufufufufuf exactly ha…","unknown","negative"
"40",40,"now mr t gone thought share article wrote pupils views … httpstcojxulwwfkc","unknown","positive"
"41",41,"rt kierans putting janet yellen secretary treasury means dems learnt nothing gfc trump winning …","unknown","positive"
"42",42,"rt ozzymanreviews staircase like us election battleground state ay uf crank ya sound ozzyman ozzymanreviews parentsvsstairs…","joy","negative"
"43",43,"rt bsindia office former president will manage trumps correspondence public statements appearance official activities…","unknown","positive"
"44",44," office former president will manage trumps correspondence public statements appearance official… httpstcoyheszamh","unknown","positive"
"45",45,"rt bsindia office former president will manage trumps correspondence public statements appearance official activities…","unknown","positive"
"46",46,"rt bsindia office former president will manage trumps correspondence public statements appearance official activities…","unknown","positive"
"47",47," office former president will manage trumps correspondence public statements appearance official… httpstcohhlzddvwb","unknown","positive"
"48",48," th amendment can used remove trump check interesting blog… httpstcomepsvca","unknown","positive"
